"Gender","Heart_Attack","age_group","bp_group","bmi_group","cholesterol_group","Confirmed Heart Attack Count","% of Heart Attack in Group","% of Total Population"
"Female","No","Adolescent","Healthy","Underweight","Very High","0","0.00","0.01"
"Female","No","Adolescent","Hypertensive Crisis","Normal","At-Risk","0","0.00","0.02"
"Female","No","Adolescent","Hypertensive Crisis","Normal","Dangerous","0","0.00","0.01"
"Female","No","Adolescent","Hypertensive Crisis","Normal","Heart-Healthy","0","0.00","0.03"
"Female","No","Adolescent","Hypertensive Crisis","Normal","Very High","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 1","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 1","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 1","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Overweight","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Hypertensive Crisis","Overweight","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Overweight","Heart-Healthy","0","0.00","0.02"
"Female","No","Adolescent","Hypertensive Crisis","Overweight","Very High","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Underweight","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Underweight","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Underweight","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Hypertensive Crisis","Underweight","Very High","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Normal","At-Risk","0","0.00","0.07"
"Female","No","Adolescent","Stage 1 Hypertension","Normal","Dangerous","0","0.00","0.04"
"Female","No","Adolescent","Stage 1 Hypertension","Normal","Heart-Healthy","0","0.00","0.14"
"Female","No","Adolescent","Stage 1 Hypertension","Normal","Very High","0","0.00","0.02"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 1","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 1","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 1","Heart-Healthy","0","0.00","0.02"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 1","Very High","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 3","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adolescent","Stage 1 Hypertension","Overweight","At-Risk","0","0.00","0.04"
"Female","No","Adolescent","Stage 1 Hypertension","Overweight","Dangerous","0","0.00","0.02"
"Female","No","Adolescent","Stage 1 Hypertension","Overweight","Heart-Healthy","0","0.00","0.08"
"Female","No","Adolescent","Stage 1 Hypertension","Overweight","Very High","0","0.00","0.01"
"Female","No","Adolescent","Stage 1 Hypertension","Underweight","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Stage 1 Hypertension","Underweight","Dangerous","0","0.00","0.01"
"Female","No","Adolescent","Stage 1 Hypertension","Underweight","Heart-Healthy","0","0.00","0.02"
"Female","No","Adolescent","Stage 1 Hypertension","Underweight","Very High","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Normal","At-Risk","0","0.00","0.05"
"Female","No","Adolescent","Stage 2 Hypertension","Normal","Dangerous","0","0.00","0.03"
"Female","No","Adolescent","Stage 2 Hypertension","Normal","Heart-Healthy","0","0.00","0.07"
"Female","No","Adolescent","Stage 2 Hypertension","Normal","Very High","0","0.00","0.01"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 1","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 1","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 1","Heart-Healthy","0","0.00","0.01"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 1","Very High","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 3","At-Risk","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Overweight","At-Risk","0","0.00","0.03"
"Female","No","Adolescent","Stage 2 Hypertension","Overweight","Dangerous","0","0.00","0.02"
"Female","No","Adolescent","Stage 2 Hypertension","Overweight","Heart-Healthy","0","0.00","0.05"
"Female","No","Adolescent","Stage 2 Hypertension","Overweight","Very High","0","0.00","0.01"
"Female","No","Adolescent","Stage 2 Hypertension","Underweight","At-Risk","0","0.00","0.01"
"Female","No","Adolescent","Stage 2 Hypertension","Underweight","Dangerous","0","0.00","0.00"
"Female","No","Adolescent","Stage 2 Hypertension","Underweight","Heart-Healthy","0","0.00","0.02"
"Female","No","Adolescent","Stage 2 Hypertension","Underweight","Very High","0","0.00","0.00"
"Female","No","Adult","Elevated","Normal","At-Risk","0","0.00","0.56"
"Female","No","Adult","Elevated","Normal","Dangerous","0","0.00","0.31"
"Female","No","Adult","Elevated","Normal","Heart-Healthy","0","0.00","1.00"
"Female","No","Adult","Elevated","Normal","Very High","0","0.00","0.12"
"Female","No","Adult","Elevated","Obese Class 1","At-Risk","0","0.00","0.07"
"Female","No","Adult","Elevated","Obese Class 1","Dangerous","0","0.00","0.03"
"Female","No","Adult","Elevated","Obese Class 1","Heart-Healthy","0","0.00","0.12"
"Female","No","Adult","Elevated","Obese Class 1","Very High","0","0.00","0.02"
"Female","No","Adult","Elevated","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adult","Elevated","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adult","Elevated","Obese Class 2","Heart-Healthy","0","0.00","0.01"
"Female","No","Adult","Elevated","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Adult","Elevated","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Adult","Elevated","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adult","Elevated","Obese Class 3","Heart-Healthy","0","0.00","0.03"
"Female","No","Adult","Elevated","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adult","Elevated","Overweight","At-Risk","0","0.00","0.37"
"Female","No","Adult","Elevated","Overweight","Dangerous","0","0.00","0.22"
"Female","No","Adult","Elevated","Overweight","Heart-Healthy","0","0.00","0.69"
"Female","No","Adult","Elevated","Overweight","Very High","0","0.00","0.08"
"Female","No","Adult","Elevated","Underweight","At-Risk","0","0.00","0.09"
"Female","No","Adult","Elevated","Underweight","Dangerous","0","0.00","0.05"
"Female","No","Adult","Elevated","Underweight","Heart-Healthy","0","0.00","0.17"
"Female","No","Adult","Elevated","Underweight","Very High","0","0.00","0.02"
"Female","No","Adult","Healthy","Normal","At-Risk","0","0.00","1.23"
"Female","No","Adult","Healthy","Normal","Dangerous","0","0.00","0.67"
"Female","No","Adult","Healthy","Normal","Heart-Healthy","0","0.00","2.22"
"Female","No","Adult","Healthy","Normal","Very High","0","0.00","0.27"
"Female","No","Adult","Healthy","Obese Class 1","At-Risk","0","0.00","0.14"
"Female","No","Adult","Healthy","Obese Class 1","Dangerous","0","0.00","0.10"
"Female","No","Adult","Healthy","Obese Class 1","Heart-Healthy","0","0.00","0.30"
"Female","No","Adult","Healthy","Obese Class 1","Very High","0","0.00","0.03"
"Female","No","Adult","Healthy","Obese Class 2","At-Risk","0","0.00","0.01"
"Female","No","Adult","Healthy","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adult","Healthy","Obese Class 2","Heart-Healthy","0","0.00","0.01"
"Female","No","Adult","Healthy","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Adult","Healthy","Obese Class 3","At-Risk","0","0.00","0.03"
"Female","No","Adult","Healthy","Obese Class 3","Dangerous","0","0.00","0.02"
"Female","No","Adult","Healthy","Obese Class 3","Heart-Healthy","0","0.00","0.06"
"Female","No","Adult","Healthy","Obese Class 3","Very High","0","0.00","0.01"
"Female","No","Adult","Healthy","Overweight","At-Risk","0","0.00","0.82"
"Female","No","Adult","Healthy","Overweight","Dangerous","0","0.00","0.44"
"Female","No","Adult","Healthy","Overweight","Heart-Healthy","0","0.00","1.47"
"Female","No","Adult","Healthy","Overweight","Very High","0","0.00","0.17"
"Female","No","Adult","Healthy","Underweight","At-Risk","0","0.00","0.22"
"Female","No","Adult","Healthy","Underweight","Dangerous","0","0.00","0.12"
"Female","No","Adult","Healthy","Underweight","Heart-Healthy","0","0.00","0.36"
"Female","No","Adult","Healthy","Underweight","Very High","0","0.00","0.05"
"Female","No","Adult","Hypertensive Crisis","Normal","At-Risk","0","0.00","0.08"
"Female","No","Adult","Hypertensive Crisis","Normal","Dangerous","0","0.00","0.04"
"Female","No","Adult","Hypertensive Crisis","Normal","Heart-Healthy","0","0.00","0.13"
"Female","No","Adult","Hypertensive Crisis","Normal","Very High","0","0.00","0.02"
"Female","No","Adult","Hypertensive Crisis","Obese Class 1","At-Risk","0","0.00","0.01"
"Female","No","Adult","Hypertensive Crisis","Obese Class 1","Dangerous","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 1","Heart-Healthy","0","0.00","0.02"
"Female","No","Adult","Hypertensive Crisis","Obese Class 1","Very High","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 3","At-Risk","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Adult","Hypertensive Crisis","Overweight","At-Risk","0","0.00","0.05"
"Female","No","Adult","Hypertensive Crisis","Overweight","Dangerous","0","0.00","0.03"
"Female","No","Adult","Hypertensive Crisis","Overweight","Heart-Healthy","0","0.00","0.10"
"Female","No","Adult","Hypertensive Crisis","Overweight","Very High","0","0.00","0.02"
"Female","No","Adult","Hypertensive Crisis","Underweight","At-Risk","0","0.00","0.01"
"Female","No","Adult","Hypertensive Crisis","Underweight","Dangerous","0","0.00","0.01"
"Female","No","Adult","Hypertensive Crisis","Underweight","Heart-Healthy","0","0.00","0.02"
"Female","No","Adult","Hypertensive Crisis","Underweight","Very High","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Normal","At-Risk","0","0.00","0.39"
"Female","No","Adult","Stage 1 Hypertension","Normal","Dangerous","0","0.00","0.20"
"Female","No","Adult","Stage 1 Hypertension","Normal","Heart-Healthy","0","0.00","0.67"
"Female","No","Adult","Stage 1 Hypertension","Normal","Very High","0","0.00","0.09"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 1","At-Risk","0","0.00","0.05"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 1","Dangerous","0","0.00","0.02"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 1","Heart-Healthy","0","0.00","0.08"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 1","Very High","0","0.00","0.01"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 3","Heart-Healthy","0","0.00","0.02"
"Female","No","Adult","Stage 1 Hypertension","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adult","Stage 1 Hypertension","Overweight","At-Risk","0","0.00","0.25"
"Female","No","Adult","Stage 1 Hypertension","Overweight","Dangerous","0","0.00","0.13"
"Female","No","Adult","Stage 1 Hypertension","Overweight","Heart-Healthy","0","0.00","0.43"
"Female","No","Adult","Stage 1 Hypertension","Overweight","Very High","0","0.00","0.05"
"Female","No","Adult","Stage 1 Hypertension","Underweight","At-Risk","0","0.00","0.06"
"Female","No","Adult","Stage 1 Hypertension","Underweight","Dangerous","0","0.00","0.04"
"Female","No","Adult","Stage 1 Hypertension","Underweight","Heart-Healthy","0","0.00","0.11"
"Female","No","Adult","Stage 1 Hypertension","Underweight","Very High","0","0.00","0.01"
"Female","No","Adult","Stage 2 Hypertension","Normal","At-Risk","0","0.00","0.22"
"Female","No","Adult","Stage 2 Hypertension","Normal","Dangerous","0","0.00","0.13"
"Female","No","Adult","Stage 2 Hypertension","Normal","Heart-Healthy","0","0.00","0.41"
"Female","No","Adult","Stage 2 Hypertension","Normal","Very High","0","0.00","0.06"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 1","At-Risk","0","0.00","0.02"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 1","Dangerous","0","0.00","0.02"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 1","Heart-Healthy","0","0.00","0.05"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 1","Very High","0","0.00","0.01"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 3","Heart-Healthy","0","0.00","0.01"
"Female","No","Adult","Stage 2 Hypertension","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Adult","Stage 2 Hypertension","Overweight","At-Risk","0","0.00","0.14"
"Female","No","Adult","Stage 2 Hypertension","Overweight","Dangerous","0","0.00","0.07"
"Female","No","Adult","Stage 2 Hypertension","Overweight","Heart-Healthy","0","0.00","0.27"
"Female","No","Adult","Stage 2 Hypertension","Overweight","Very High","0","0.00","0.04"
"Female","No","Adult","Stage 2 Hypertension","Underweight","At-Risk","0","0.00","0.04"
"Female","No","Adult","Stage 2 Hypertension","Underweight","Dangerous","0","0.00","0.02"
"Female","No","Adult","Stage 2 Hypertension","Underweight","Heart-Healthy","0","0.00","0.07"
"Female","No","Adult","Stage 2 Hypertension","Underweight","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Elevated","Normal","At-Risk","0","0.00","0.44"
"Female","No","Middle Age Adult","Elevated","Normal","Dangerous","0","0.00","0.23"
"Female","No","Middle Age Adult","Elevated","Normal","Heart-Healthy","0","0.00","0.76"
"Female","No","Middle Age Adult","Elevated","Normal","Very High","0","0.00","0.09"
"Female","No","Middle Age Adult","Elevated","Obese Class 1","At-Risk","0","0.00","0.06"
"Female","No","Middle Age Adult","Elevated","Obese Class 1","Dangerous","0","0.00","0.03"
"Female","No","Middle Age Adult","Elevated","Obese Class 1","Heart-Healthy","0","0.00","0.10"
"Female","No","Middle Age Adult","Elevated","Obese Class 1","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Elevated","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Elevated","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Middle Age Adult","Elevated","Obese Class 2","Heart-Healthy","0","0.00","0.01"
"Female","No","Middle Age Adult","Elevated","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Elevated","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Middle Age Adult","Elevated","Obese Class 3","Dangerous","0","0.00","0.01"
"Female","No","Middle Age Adult","Elevated","Obese Class 3","Heart-Healthy","0","0.00","0.02"
"Female","No","Middle Age Adult","Elevated","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Elevated","Overweight","At-Risk","0","0.00","0.27"
"Female","No","Middle Age Adult","Elevated","Overweight","Dangerous","0","0.00","0.15"
"Female","No","Middle Age Adult","Elevated","Overweight","Heart-Healthy","0","0.00","0.50"
"Female","No","Middle Age Adult","Elevated","Overweight","Very High","0","0.00","0.06"
"Female","No","Middle Age Adult","Elevated","Underweight","At-Risk","0","0.00","0.07"
"Female","No","Middle Age Adult","Elevated","Underweight","Dangerous","0","0.00","0.04"
"Female","No","Middle Age Adult","Elevated","Underweight","Heart-Healthy","0","0.00","0.13"
"Female","No","Middle Age Adult","Elevated","Underweight","Very High","0","0.00","0.02"
"Female","No","Middle Age Adult","Healthy","Normal","At-Risk","0","0.00","0.96"
"Female","No","Middle Age Adult","Healthy","Normal","Dangerous","0","0.00","0.52"
"Female","No","Middle Age Adult","Healthy","Normal","Heart-Healthy","0","0.00","1.67"
"Female","No","Middle Age Adult","Healthy","Normal","Very High","0","0.00","0.21"
"Female","No","Middle Age Adult","Healthy","Obese Class 1","At-Risk","0","0.00","0.11"
"Female","No","Middle Age Adult","Healthy","Obese Class 1","Dangerous","0","0.00","0.07"
"Female","No","Middle Age Adult","Healthy","Obese Class 1","Heart-Healthy","0","0.00","0.21"
"Female","No","Middle Age Adult","Healthy","Obese Class 1","Very High","0","0.00","0.03"
"Female","No","Middle Age Adult","Healthy","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Healthy","Obese Class 2","Dangerous","0","0.00","0.01"
"Female","No","Middle Age Adult","Healthy","Obese Class 2","Heart-Healthy","0","0.00","0.01"
"Female","No","Middle Age Adult","Healthy","Obese Class 2","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Healthy","Obese Class 3","At-Risk","0","0.00","0.02"
"Female","No","Middle Age Adult","Healthy","Obese Class 3","Dangerous","0","0.00","0.01"
"Female","No","Middle Age Adult","Healthy","Obese Class 3","Heart-Healthy","0","0.00","0.05"
"Female","No","Middle Age Adult","Healthy","Obese Class 3","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Healthy","Overweight","At-Risk","0","0.00","0.63"
"Female","No","Middle Age Adult","Healthy","Overweight","Dangerous","0","0.00","0.34"
"Female","No","Middle Age Adult","Healthy","Overweight","Heart-Healthy","0","0.00","1.11"
"Female","No","Middle Age Adult","Healthy","Overweight","Very High","0","0.00","0.13"
"Female","No","Middle Age Adult","Healthy","Underweight","At-Risk","0","0.00","0.16"
"Female","No","Middle Age Adult","Healthy","Underweight","Dangerous","0","0.00","0.10"
"Female","No","Middle Age Adult","Healthy","Underweight","Heart-Healthy","0","0.00","0.28"
"Female","No","Middle Age Adult","Healthy","Underweight","Very High","0","0.00","0.04"
"Female","No","Middle Age Adult","Hypertensive Crisis","Normal","At-Risk","0","0.00","0.06"
"Female","No","Middle Age Adult","Hypertensive Crisis","Normal","Dangerous","0","0.00","0.04"
"Female","No","Middle Age Adult","Hypertensive Crisis","Normal","Heart-Healthy","0","0.00","0.12"
"Female","No","Middle Age Adult","Hypertensive Crisis","Normal","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 1","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 1","Dangerous","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 1","Heart-Healthy","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 1","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 3","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Obese Class 3","Heart-Healthy","0","0.00","0.00"
"Female","No","Middle Age Adult","Hypertensive Crisis","Overweight","At-Risk","0","0.00","0.04"
"Female","No","Middle Age Adult","Hypertensive Crisis","Overweight","Dangerous","0","0.00","0.02"
"Female","No","Middle Age Adult","Hypertensive Crisis","Overweight","Heart-Healthy","0","0.00","0.07"
"Female","No","Middle Age Adult","Hypertensive Crisis","Overweight","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Underweight","At-Risk","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Underweight","Dangerous","0","0.00","0.01"
"Female","No","Middle Age Adult","Hypertensive Crisis","Underweight","Heart-Healthy","0","0.00","0.02"
"Female","No","Middle Age Adult","Hypertensive Crisis","Underweight","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Normal","At-Risk","0","0.00","0.31"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Normal","Dangerous","0","0.00","0.15"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Normal","Heart-Healthy","0","0.00","0.51"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Normal","Very High","0","0.00","0.06"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 1","At-Risk","0","0.00","0.04"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 1","Dangerous","0","0.00","0.02"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 1","Heart-Healthy","0","0.00","0.06"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 1","Very High","0","0.00","0.01"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 2","At-Risk","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 2","Dangerous","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 2","Heart-Healthy","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 3","At-Risk","0","0.00","0.01"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 3","Dangerous","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 3","Heart-Healthy","0","0.00","0.01"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Obese Class 3","Very High","0","0.00","0.00"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Overweight","At-Risk","0","0.00","0.18"
"Female","No","Middle Age Adult","Stage 1 Hypertension","Overweight","Dangerous","0","0.00","0.10"
